Column1,Column2
192.168.6.130               ,5e:1d:18:01:2e:8e   C                     
192.168.12.151                   ,(incomplete)                              
192.168.11.180              ,84:8f:69:dd:df:02   C                     
192.168.1.120                    ,(incomplete)                              
192.168.6.131               ,1a:74:4e:78:b0:5e   C                     
192.168.12.152              ,8c:ec:4b:71:24:71   C                     
192.168.1.121                    ,(incomplete)                              
192.168.6.132               ,1c:57:dc:38:10:b7   C                     
192.168.7.31                     ,(incomplete)                              
192.168.12.153              ,8c:ec:4b:6e:e9:0c   C                     
192.168.1.122                    ,(incomplete)                              
192.168.6.133               ,8e:08:8a:79:2d:7f   C                     
192.168.7.32                     ,(incomplete)                              
192.168.12.154                   ,(incomplete)                              
192.168.11.183                   ,(incomplete)                              
192.168.1.123                    ,(incomplete)                              
192.168.6.134                    ,(incomplete)                              
192.168.11.184              ,84:8f:69:dd:df:02   C                     
192.168.1.124                    ,(incomplete)                              
192.168.7.34                     ,(incomplete)                              
192.168.13.74               ,f8:0d:60:e6:ca:bf   C                     
192.168.11.185              ,00:15:65:e3:d9:e6   C                     
192.168.12.156              ,80:5e:c0:04:40:5c   C                     
192.168.6.136                    ,(incomplete)                              
192.168.1.125                    ,(incomplete)                              
192.168.12.157                   ,(incomplete)                              
192.168.1.126                    ,(incomplete)                              
192.168.12.158              ,80:5e:c0:04:40:5e   C                     
192.168.1.127                    ,(incomplete)                              
192.168.6.138                    ,(incomplete)                              
192.168.24.221              ,6a:f5:06:91:c7:d8   C                     
192.168.12.159              ,80:5e:c0:04:41:16   C                     
192.168.11.188              ,00:15:65:e3:db:28   C                     
192.168.1.128                    ,(incomplete)                              
192.168.24.222              ,16:52:bb:55:b6:1c   C                     
192.168.12.160              ,80:5e:c0:04:3c:bb   C                     
192.168.1.129                    ,(incomplete)                              
192.168.6.140               ,b6:5c:64:7d:e4:bb   C                     
192.168.12.161              ,80:5e:c0:04:41:e0   C                     
192.168.1.130                    ,(incomplete)                              
192.168.12.162                   ,(incomplete)                              
192.168.11.191              ,8c:ec:4b:6e:ea:b2   C                     
192.168.6.142                    ,(incomplete)                              
192.168.1.131                    ,(incomplete)                              
192.168.24.225                   ,(incomplete)                              
192.168.11.192              ,00:15:65:e2:6e:d2   C                     
192.168.1.132                    ,(incomplete)                              
192.168.6.143                    ,(incomplete)                              
192.168.13.82               ,a4:9b:cd:f7:e5:52   C                     
192.168.12.164              ,00:15:65:e2:6e:b8   C                     
192.168.11.193              ,8c:ec:4b:71:3e:3d   C                     
192.168.6.144               ,fa:ff:f7:6b:0c:62   C                     
192.168.1.133                    ,(incomplete)                              
192.168.13.83               ,80:5e:c0:53:19:74   C                     
192.168.12.165                   ,(incomplete)                              
192.168.11.194              ,00:15:65:e2:70:3e   C                     
192.168.1.134                    ,(incomplete)                              
192.168.13.84               ,80:5e:0c:1f:7a:fa   C                     
192.168.11.195              ,00:15:65:e2:6e:06   C                     
192.168.12.166              ,80:5e:c0:04:41:e5   C                     
192.168.1.135                    ,(incomplete)                              
192.168.11.196              ,8c:ec:4b:6e:e8:7e   C                     
192.168.1.136                    ,(incomplete)                              
192.168.13.86               ,2c:1a:05:f8:d8:3f   C                     
192.168.12.168                   ,(incomplete)                              
192.168.24.230              ,ba:de:98:83:dd:5a   C                     
192.168.11.197              ,34:7e:5c:c5:b4:78   C                     
192.168.6.148                    ,(incomplete)                              
192.168.1.137                    ,(incomplete)                              
192.168.24.231              ,5a:2d:33:29:3c:67   C                     
192.168.11.198              ,8c:ec:4b:71:3e:46   C                     
192.168.1.138                    ,(incomplete)                              
192.168.12.170                   ,(incomplete)                              
192.168.24.232              ,32:8e:d3:18:a0:77   C                     
192.168.11.199              ,8c:ec:4b:71:3e:47   C                     
192.168.1.139                    ,(incomplete)                              
192.168.6.150               ,e2:2f:74:33:a1:15   C                     
192.168.13.89               ,80:5e:0c:1f:75:c7   C                     
192.168.24.233              ,e6:8b:22:ae:dc:48   C                     
192.168.11.200              ,8c:ec:4b:71:3d:8f   C                     
192.168.1.140                    ,(incomplete)                              
192.168.24.234              ,8c:ec:4b:70:80:71   C                     
192.168.11.201              ,34:7e:5c:c5:b7:68   C                     
192.168.1.141                    ,(incomplete)                              
192.168.13.91               ,8c:ec:4b:6e:ec:85   C                     
192.168.12.173              ,80:5e:c0:04:3e:ff   C                     
192.168.11.202              ,34:7e:5c:c5:b7:70   C                     
192.168.1.142                    ,(incomplete)                              
192.168.13.92               ,a4:bb:6d:95:b4:d0   C                     
192.168.11.203              ,00:15:65:a4:20:3d   C                     
192.168.12.174              ,8c:ec:4b:71:3e:2e   C                     
192.168.1.143                    ,(incomplete)                              
192.168.6.154                    ,(incomplete)                              
192.168.13.93               ,b4:22:00:7c:de:f8   C                     
192.168.11.204              ,90:b1:1c:9f:37:1a   C                     
192.168.12.175              ,8c:ec:4b:71:3a:88   C                     
192.168.1.144                    ,(incomplete)                              
192.168.6.155               ,a6:26:7d:59:ca:48   C                     
192.168.12.176                   ,(incomplete)                              
192.168.11.205              ,00:15:65:e2:6d:fa   C                     
192.168.1.145                    ,(incomplete)                              
192.168.6.156               ,7a:8b:92:b9:27:3c   C                     
192.168.12.177              ,8c:ec:4b:71:3e:30   C                     
192.168.11.206              ,3c:2a:f4:b2:c1:ff   C                     
192.168.1.146                    ,(incomplete)                              
192.168.6.157               ,2a:20:8e:1a:da:43   C                     
192.168.11.207              ,34:7e:5c:c5:b7:76   C                     
192.168.12.178              ,80:5e:c0:04:41:29   C                     
192.168.1.147                    ,(incomplete)                              
192.168.6.158                    ,(incomplete)                              
192.168.11.208              ,00:15:65:e2:6e:10   C                     
192.168.12.179              ,8c:ec:4b:71:24:8c   C                     
192.168.24.241              ,8c:ec:4b:6e:ed:d3   C                     
192.168.1.148                    ,(incomplete)                              
192.168.6.159               ,ae:49:cb:88:18:f9   C                     
192.168.24.242                   ,(incomplete)                              
192.168.11.209              ,70:6e:6d:fd:ec:f0   C                     
192.168.12.180              ,84:8f:69:dd:df:00   C                     
192.168.6.160                    ,(incomplete)                              
192.168.1.149                    ,(incomplete)                              
192.168.12.181              ,80:5e:c0:04:40:71   C                     
192.168.24.243              ,8c:ec:4b:6e:91:5f   C                     
192.168.11.210              ,00:15:65:8a:a4:a4   C                     
192.168.1.150                    ,(incomplete)                              
192.168.6.161               ,04:ed:33:f7:8d:d9   C                     
192.168.12.182              ,80:5e:c0:04:40:76   C                     
192.168.11.211              ,34:7e:5c:c5:b4:8c   C                     
192.168.1.151                    ,(incomplete)                              
192.168.7.61                     ,(incomplete)                              
192.168.11.212              ,50:9a:4c:17:c0:84   C                     
192.168.1.152                    ,(incomplete)                              
192.168.6.163               ,d6:e6:b5:e7:c4:e9   C                     
192.168.11.213              ,00:15:65:e2:6e:0e   C                     
192.168.24.246              ,8c:ec:4b:71:24:06   C                     
192.168.1.153                    ,(incomplete)                              
192.168.6.164                    ,(incomplete)                              
192.168.13.103              ,80:5e:0c:1f:75:19   C                     
192.168.12.185                   ,(incomplete)                              
192.168.11.214              ,64:16:66:79:24:f6   C                     
192.168.1.154                    ,(incomplete)                              
192.168.12.186                   ,(incomplete)                              
192.168.1.155                    ,(incomplete)                              
192.168.11.216              ,18:e8:29:60:f8:d5   C                     
192.168.12.187              ,8c:ec:4b:71:3e:2d   C                     
192.168.1.156                    ,(incomplete)                              
192.168.6.167                    ,(incomplete)                              
192.168.11.217              ,00:15:65:e2:6e:d0   C                     
192.168.12.188              ,80:5e:c0:04:40:7c   C                     
192.168.1.157                    ,(incomplete)                              
192.168.13.107                   ,(incomplete)                              
192.168.12.189                   ,(incomplete)                              
192.168.1.158                    ,(incomplete)                              
192.168.13.108              ,50:9a:4c:17:c0:ba   C                     
192.168.1.159                    ,(incomplete)                              
192.168.13.109              ,80:5e:0c:1f:75:24   C                     
192.168.12.191              ,f8:e4:3b:4d:d7:c7   C                     
192.168.11.220              ,cc:5a:53:96:6a:ac   C                     
192.168.1.160                    ,(incomplete)                              
192.168.6.171               ,8a:d5:ac:14:bf:20   C                     
